geometry_id,measurement_id,channel0,channel1,timestamp,value
1152922329240578050,0,194,1334,0,0.119857997
1152922329240579586,1,438,995,0,0.11327184
1152922329240579586,2,500,538,0,0.119249411
1152922329240579842,3,76,1117,0,0.128589869
1152922466679531522,4,213,860,0,0.113953464
1152922466679533058,5,423,562,0,0.0492114909
1152922466679533058,5,423,561,0,0.083280921
1152922466679533058,6,425,545,0,0.0802354515
1152922466679533058,6,425,546,0,0.0699271336
1152922466679533314,7,113,647,0,0.0318588689
1152922466679533314,7,113,646,0,0.0768206418
1152922466679533826,8,593,638,0,0.119052298
1152922466679533826,8,593,637,0,0.0194964558
1152922604118484994,9,228,465,0,0.105581678
1152922604118486530,10,410,200,0,0.121837907
1152922604118486786,11,144,255,0,0.0859676898
1152922604118486786,11,144,254,0,0.0382929929
1152922604118487298,12,555,247,0,0.0138477534
1152922604118487298,12,555,246,0,0.129280016
1224979236083731712,13,44,1008,0,0.0537314005
1224979236083731712,13,43,1009,0,0.044513531
1224979236083731712,13,43,1010,0,0.0565117784
1224979236083731712,13,43,1011,0,0.0337231904
1224979236083731712,13,43,1012,0,0.0643382892
1224979236083737856,14,206,670,0,0.0369609296
1224979236083737856,14,206,669,0,0.0712551475
1224979236083737856,14,206,668,0,0.0587978028
1224979236083737856,14,206,667,0,0.0576346628
1224979236083737856,14,206,666,0,0.0241272766
1224979236083738112,15,218,1373,0,0.101550698
1224979236083738112,16,100,1171,0,0.0437607951
1224979236083738112,16,100,1170,0,0.0485396944
1224979236083738112,16,100,1169,0,0.0254297573
1224979236083738112,16,99,1169,0,0.0107250577
1224979236083738112,16,99,1168,0,0.0808171332
1224979236083738112,17,141,150,0,0.0331782214
1224979236083738112,17,141,149,0,0.0296890885
1224979236083738112,17,141,148,0,0.0530062877
1224979236083738112,17,141,147,0,0.0615427569
1224979236083738112,17,141,146,0,0.028965462
1224979236083738112,17,141,145,0,0.0493891798
1224979236083738112,17,141,144,0,0.0447465666
1224979236083738112,17,141,143,0,0.0458087735
1224979236083738112,17,141,142,0,0.0460536592
1224979236083738112,17,141,141,0,0.0470972098
1224979236083738112,17,141,140,0,0.0307271872
1224979236083738112,17,141,139,0,0.0528732203
1224979236083738112,17,141,138,0,0.080146715
1224979236083738368,18,165,1051,0,0.0261955187
1224979236083738368,18,165,1050,0,0.0573328733
1224979236083738368,18,165,1049,0,0.0698332265
1224979236083738368,18,165,1048,0,0.0461902134
1224979236083742208,19,205,249,0,0.0486778654
1224979236083742208,19,205,248,0,0.0987959951
1224979236083742208,20,234,1198,0,0.0628164262
1224979236083742208,20,234,1199,0,0.0500382856
1224979236083742208,20,234,1200,0,0.0641706511
1224979236083742208,20,234,1201,0,0.0585996136
1224979236083742208,20,234,1202,0,0.0715239048
1224979236083742208,20,234,1203,0,0.0466111153
1224979236083742208,20,234,1204,0,0.0822607502
1224979236083742208,21,95,851,0,0.0957280099
1224979236083742208,21,94,851,0,0.0377742946
1224979236083745024,22,262,1103,0,0.0112690385
1224979236083745024,22,262,1102,0,0.0580385588
1224979236083745024,22,262,1101,0,0.038249027
1224979236083745024,22,262,1100,0,0.078893654
